INSTANCE_ACCOUNT_ID,INSTANCE_ACCOUNT_SUBDOMAIN,INSTANCE_ACCOUNT_POD_ID,SUBSCRIPTION_RATE_LIMIT,TICKETS_UPDATE_LIMIT,PER_TICKET_UPDATES_LIMIT,INFLIGHT_JOBS_LIMIT,INCREMENTAL_EXPORTS_LIMIT,SUBSCRIPTION_RATE_USED,TICKETS_UPDATE_USED,ERRORS_429_COUNT
15068412,abinbevug1664372738,pod20,2500,,,,30,64,,0
25496625,scwx1752154821,pod27,2500,100,30,,,3,1,0
15844044,mddelmarkedelson,pod27,2500,,,,,71,,0
11567311,flrepperez,pod27,2500,,,,,186,,0
13165022,okrepnewton,pod27,2500,,,30,,64,,0
2003758,hollywoodbets,pod27,2500,300,30,,30,328,57,0
764450,bookinghelpdesk,pod20,2500,,,,,33,,0
20711888,cx-hc,pod27,2500,,,,,1,,0
15765644,mirepmcfall,pod27,2500,,,30,,439,,0
13783170,mnsenrarick,pod13,2500,,,,,197,,0
12146356,pennymac-cdl,pod27,2500,,,,30,6,,0
810615,rticcoolers,pod27,2500,300,30,,,91,6,0
19821470,pdinetelevenhelp1706187683,pod18,2500,,,,,2,,0
19888952,inrepdistrict8-d,pod27,2500,,,,,388,,0
18677421,nmsenmimistewart,pod19,2500,,,30,,56,,0
106787,sai360,pod20,700,100,30,50,,12,1,0
24209819,drfirsthelp1739158479,pod19,2500,,,,,59,,0
13783063,mnsenmitchell,pod13,2500,,,,,315,,0
2275733,cimpress-security,pod28,2500,300,30,,,26,1,0
958463,quintoandar,pod13,2500,,,,,2,,0
13781662,mnsendibble,pod27,2500,,,,,380,,0
20195379,pahousedemsdistrict159,pod19,2500,,,30,30,68,,0
9077126,coupangcustomersupport,pod25,25000,5000,30,100,30,10862,3030,32
10580590,norwegianhelp,pod18,2500,300,30,,30,31,4,0
830365,zipcar,pod19,2500,300,30,,,1140,11,55
9722527,repgraves,pod23,2500,,,30,,405,,0
22544796,roblox1729179077,pod20,2500,,,,,21,,0
23336868,repsarajacobs,pod20,2500,300,30,30,30,264,41,0
17952226,beesnl1689273678,pod27,2500,,,,30,54,,0
10574709,hidrb,pod19,2500,,,,,2,,0
18401957,pdi-gsneotek-gc,pod25,2500,,,,,1,,0
13340513,abinbevpy1649957909,pod27,2500,,,,30,97,,0
10205045,pdi-activepowered,pod27,2500,,,,,1,,0
2282982,setelappsupport,pod13,2500,300,30,,30,262,10,0
17713515,pichincha,pod27,2500,300,30,,,1300,298,1
10677422,mirepmarino,pod19,2500,,,30,,402,,0
17625861,beesph1686575374,pod23,2500,,,,30,107,,0
19888921,insendistrict48-r,pod19,2500,,,,30,380,,0
20195408,pahousedemsdistrict195,pod19,2500,,,30,,62,,0
15503144,cabify1668164776,pod18,2500,,,,,2,,0
9496739,tepco,pod25,2500,,,,30,7,,0
9538468,d3v-voicefoundry,pod25,2500,,,,,1,,0
13167362,okrepbanning,pod13,2500,,,30,,92,,3
17103433,nc-rep-mitchell-setzer,pod23,2500,,,,,204,,0
20491185,reflyhelp,pod17,2500,300,30,30,30,2500,33,480
13173980,okrepmenz,pod13,2500,,,,,62,,0
18007651,ab-inbevbo,pod25,2500,300,30,,30,203,34,0
2240712,sodastreamusa,pod27,2500,,,30,,142,,0
20195395,pahousedemsdistrict179,pod27,2500,,,,,62,,0
15708106,refurbedhelp,pod29,2500,300,30,30,30,253,2,0
20505424,siennacharlesllchelp,pod27,2500,300,30,,,5,5,0
19736357,ab-inbevcl,pod27,2500,,,,30,7,,0
